model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gpt-4.1,100,0,100,0,0.56,0.71,0.46,0.66,0.62,0.8,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gpt-4.1,100,11,100,0,0.56,0.68,0.46,0.66,0.59,0.77,0,0.0,-0.06000000000000005,0.06000000000000005,False,-0.029999999999999916,-0.09999999999999998,0.030000000000000027,False
gpt-4.1,100,22,100,0,0.56,0.68,0.46,0.66,0.59,0.77,0,0.0,-0.07000000000000006,0.07000000000000006,False,-0.029999999999999916,-0.09999999999999998,0.040000000000000036,False
gpt-4.1,100,33,100,0,0.53,0.67,0.43,0.63,0.58,0.76,0,-0.030000000000000027,-0.09000000000000008,0.030000000000000027,False,-0.039999999999999925,-0.10999999999999999,0.029999999999999916,False
gpt-4.1,100,44,100,0,0.53,0.66,0.43,0.63,0.56,0.75,0,-0.030000000000000027,-0.09999999999999998,0.030000000000000027,False,-0.04999999999999993,-0.12,0.020000000000000018,False
gpt-4.1,100,55,100,0,0.54,0.69,0.44,0.64,0.6,0.78,0,-0.020000000000000018,-0.08999999999999997,0.04999999999999993,False,-0.020000000000000018,-0.09000000000000008,0.050000000000000044,False
gpt-4.1,100,66,100,0,0.54,0.68,0.44,0.64,0.59,0.77,0,-0.020000000000000018,-0.08999999999999997,0.04999999999999993,False,-0.029999999999999916,-0.10999999999999999,0.04999999999999993,False
gpt-4.1,100,77,100,0,0.54,0.66,0.44,0.64,0.57,0.75,0,-0.020000000000000018,-0.08999999999999997,0.04999999999999993,False,-0.04999999999999993,-0.12,0.020000000000000018,False
gpt-4.1,100,88,100,0,0.55,0.7,0.45,0.65,0.61,0.79,0,-0.010000000000000009,-0.08999999999999997,0.06999999999999995,False,-0.010000000000000009,-0.08999999999999997,0.06999999999999995,False
gpt-4.1,100,99,100,0,0.62,0.73,0.53,0.71,0.64,0.81,0,0.05999999999999994,-0.020000000000000018,0.14,False,0.020000000000000018,-0.04999999999999993,0.08999999999999997,False
